Organization Name,Case Number,Patient ID,Common Species Name,Date Admitted,Circumstances of Rescue,Rescue State,Rescue Juristiction,Rescue Address,Other Rescue Information,Latitude,Longitude,Elevation,Disposition
Wildlife Center of Virginia,19-0020756,19-0966,Northern Cardinal,5/16/2019,Collision / Moving object / Car/truck/motorcycle,VA,Waynesboro (City),"105 Hopeman Pkwy, Waynesboro, VA 22980, USA",,38.0767098,-78.913221,421.804657,Euthanized
Wildlife Center of Virginia,23-0004839,23-0105,Red-shouldered Hawk,2/10/2023,Collision / Moving object / Car/truck/motorcycle,VA,Augusta County,"105 Manchester Dr, Staunton, VA 24401, USA",,38.11772156,-79.06342316,453.6224365,Euthanized
Wildlife Center of Virginia,21-0050479,21-2748,white-tailed deer,8/2/2021,Collision / Moving object / Car/truck/motorcycle,VA,Rockingham County,"105 S Timber Way, Broadway, VA 22815, USA",,38.60858536,-78.78699493,355.0117188,Euthanized
Wildlife Center of Virginia,17-0026478,17-1156,Eastern Ratsnake,5/27/2017,Collision / Moving object / Car/truck/motorcycle,VA,Augusta County,"105 Torry Ln, Stuarts Draft, VA 24477, USA",,38.000326,-79.034176,467.5724487,Euthanized
Wildlife Center of Virginia,22-0005389,22-0126,Striped Skunk,2/20/2022,Collision / Moving object / Car/truck/motorcycle,VA,Montgomery County,"1050 Red Leaf Ct NW, Christiansburg, VA 24073, USA",,37.14913177,-80.42295074,623.5551147,Euthanized
Wildlife Center of Virginia,22-0035176,22-2117,Eastern Box Turtle,7/2/2022,Collision / Moving object / Car/truck/motorcycle,VA,Henrico County,"10531 Hamilton Rd, Glen Allen, VA 23060, USA",,37.66320801,-77.50678253,61.25409317,Released
Wildlife Center of Virginia,23-0083670,23-3745,Red-tailed Hawk,10/25/2023,Collision / Moving object / Car/truck/motorcycle,VA,Rockingham County,"10547 Turleytown Rd, Linville, VA 22834, USA",,38.5991478,-78.89174652,446.3063049,Euthanized
Wildlife Center of Virginia,23-0025361,DOA23-0075,white-tailed deer,6/10/2023,Collision / Moving object / Car/truck/motorcycle,VA,Augusta County,"1057 Rockfish Rd, Waynesboro, VA 22980, USA",,38.1223793,-78.86601257,394.5131836,Died
Wildlife Center of Virginia,17-0002217,17-0050,Eastern Screech-Owl,1/15/2017,Collision / Moving object / Car/truck/motorcycle,VA,Rockbridge County,"106 Clearwater Lodge Rd, Natural Bridge Station, VA 24579, USA",,37.5677066,-79.5112867,298.4691467,Euthanized
Wildlife Center of Virginia,22-0023072,22-1307,House Sparrow,5/25/2022,Collision / Moving object / Car/truck/motorcycle,VA,Staunton (City),"106 Park Blvd, Staunton, VA 24401, USA",,38.1542244,-79.08800507,454.7148743,Euthanized
Wildlife Center of Virginia,21-0044021,21-2357,Virginia Opossum,7/11/2021,Collision / Moving object / Car/truck/motorcycle,VA,Harrisonburg (City),"1060 Wellington Dr, Harrisonburg, VA 22802, USA",,38.45056534,-78.84803009,444.3272095,Died
Wildlife Center of Virginia,21-0044022,21-2358,Virginia Opossum,7/11/2021,Collision / Moving object / Car/truck/motorcycle,VA,Harrisonburg (City),"1060 Wellington Dr, Harrisonburg, VA 22802, USA",,38.45056534,-78.84803009,444.3272095,Euthanized
